Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-03-01 07:00:00+07:00,66856.8203125,67039.0546875,66842.3828125,66997.25,18370560
2026-03-01 07:15:00+07:00,66842.6953125,67021.0859375,66842.6953125,66897.296875,497995776
2026-03-01 07:30:00+07:00,66667.78125,66834.296875,66663.9296875,66796.265625,341630976
2026-03-01 07:45:00+07:00,66821.7734375,66869.171875,66663.75,66663.75,196636672
2026-03-01 08:00:00+07:00,66301.84375,66758.3359375,66237.0390625,66680.6640625,415920128
2026-03-01 08:15:00+07:00,66348.6796875,66460.15625,66115.8828125,66311.625,2224676864
2026-03-01 08:30:00+07:00,66683.4140625,66719.0703125,66332.7578125,66361.1796875,108347392
2026-03-01 08:45:00+07:00,67271.4453125,67577.9375,66639.1015625,66639.1015625,1186045952
2026-03-01 09:00:00+07:00,67917.1328125,68143.15625,67334.71875,67334.71875,1139183616
2026-03-01 09:15:00+07:00,67787.4296875,67974.09375,67686.546875,67974.09375,260440064
2026-03-01 09:30:00+07:00,68053.8671875,68053.8671875,67714.296875,67786.796875,740380672
2026-03-01 09:45:00+07:00,67667.5390625,68134.0078125,67666.421875,68088.3359375,788799488
2026-03-01 10:00:00+07:00,67744.2109375,67805.3046875,67641.3203125,67647.1015625,98488320
2026-03-01 10:15:00+07:00,67590.1171875,67741.1015625,67435.140625,67719.453125,946663424
2026-03-01 10:30:00+07:00,67602.953125,67602.953125,67482.90625,67568.4296875,237387776
2026-03-01 10:45:00+07:00,67487.265625,67665.6484375,67487.265625,67633.2265625,102727680
2026-03-01 11:00:00+07:00,67387.046875,67592.6796875,67369.3828125,67574.7109375,1031643136
2026-03-01 11:15:00+07:00,67339.4375,67339.4375,67103.2421875,67314.0078125,221048832
2026-03-01 11:30:00+07:00,67427.765625,67427.765625,67282.5078125,67330.9609375,776757248
2026-03-01 11:45:00+07:00,67314.8828125,67415.734375,67314.8828125,67415.734375,221245440
2026-03-01 12:00:00+07:00,67410.6875,67431.8359375,67239.46875,67341.25,592183296
2026-03-01 12:15:00+07:00,67464.046875,67546.90625,67342.6796875,67342.6796875,311324672
2026-03-01 12:30:00+07:00,67458.59375,67547.921875,67455.3515625,67455.3515625,947679232
2026-03-01 12:45:00+07:00,67322.9296875,67417.25,67311.234375,67397.984375,29949952
2026-03-01 13:00:00+07:00,67064.0078125,67322.359375,66991.46875,67311.671875,27197440
2026-03-01 13:15:00+07:00,67141.5390625,67141.5390625,66998.4765625,67092.71875,743006208
