Price,Close,High,Low,Open,Volume
Ticker,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD
Datetime,,,,,
2026-03-01 07:00:00+07:00,1.3758022785186768,1.3792165517807007,1.3758022785186768,1.3780606985092163,5246208
2026-03-01 07:15:00+07:00,1.3761929273605347,1.377668023109436,1.3761045932769775,1.3761045932769775,3584512
2026-03-01 07:30:00+07:00,1.374735713005066,1.3762074708938599,1.3741251230239868,1.374428153038025,9356544
2026-03-01 07:45:00+07:00,1.379562497138977,1.3795726299285889,1.3748648166656494,1.3748648166656494,9814016
2026-03-01 08:00:00+07:00,1.3702963590621948,1.3786793947219849,1.370090365409851,1.3784528970718384,11621120
2026-03-01 08:15:00+07:00,1.3732324838638306,1.373276710510254,1.3683409690856934,1.370174765586853,25081856
2026-03-01 08:30:00+07:00,1.3884336948394775,1.3890234231948853,1.3733007907867432,1.3733007907867432,41962240
2026-03-01 08:45:00+07:00,1.402026653289795,1.4062072038650513,1.387891173362732,1.3883885145187378,134723072
2026-03-01 09:00:00+07:00,1.4199614524841309,1.424188494682312,1.4018895626068115,1.4018895626068115,147097088
2026-03-01 09:15:00+07:00,1.4218876361846924,1.4220794439315796,1.4184703826904297,1.4220794439315796,64429568
2026-03-01 09:30:00+07:00,1.4289029836654663,1.4289029836654663,1.4233636856079102,1.4233952760696411,73718272
2026-03-01 09:45:00+07:00,1.4263042211532593,1.428749680519104,1.4256019592285156,1.428749680519104,60633088
2026-03-01 10:00:00+07:00,1.4286375045776367,1.4292229413986206,1.4250215291976929,1.4261579513549805,44196352
2026-03-01 10:15:00+07:00,1.4272136688232422,1.4320183992385864,1.425371766090393,1.4283899068832397,41826816
2026-03-01 10:30:00+07:00,1.4234521389007568,1.4272092580795288,1.4234521389007568,1.4270468950271606,18422784
2026-03-01 10:45:00+07:00,1.4172755479812622,1.4244850873947144,1.4172755479812622,1.4238250255584717,24951808
2026-03-01 11:00:00+07:00,1.4167050123214722,1.419984221458435,1.4167050123214722,1.4179872274398804,31539712
2026-03-01 11:15:00+07:00,1.409836769104004,1.4167253971099854,1.4077767133712769,1.4167253971099854,56059392
2026-03-01 11:30:00+07:00,1.4133208990097046,1.4133208990097046,1.4094380140304565,1.4098730087280273,14072832
2026-03-01 11:45:00+07:00,1.4123092889785767,1.4132695198059082,1.41228449344635,1.4132695198059082,4792832
2026-03-01 12:00:00+07:00,1.4163568019866943,1.4163568019866943,1.4125697612762451,1.4125697612762451,14599168
2026-03-01 12:15:00+07:00,1.415802001953125,1.415884017944336,1.4134169816970825,1.4155980348587036,11784192
2026-03-01 12:30:00+07:00,1.4129678010940552,1.4156464338302612,1.4129678010940552,1.4156464338302612,0
