Price,Close,High,Low,Open,Volume
Ticker,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Datetime,,,,,
2026-03-01 07:00:00+07:00,616.9888916015625,617.5894165039062,616.9334716796875,617.460693359375,453504
2026-03-01 07:15:00+07:00,617.2097778320312,617.5018310546875,617.1221313476562,617.1690063476562,3288960
2026-03-01 07:30:00+07:00,616.2183837890625,616.9522094726562,616.2183837890625,616.9522094726562,2310656
2026-03-01 07:45:00+07:00,617.6699829101562,617.6699829101562,616.2421875,616.2421875,2037120
2026-03-01 08:00:00+07:00,616.66796875,618.2899169921875,616.66796875,617.7218627929688,9245056
2026-03-01 08:15:00+07:00,617.3303833007812,617.35791015625,615.7068481445312,616.8151245117188,10617216
2026-03-01 08:30:00+07:00,619.9201049804688,619.9201049804688,617.0435791015625,617.0518798828125,6350976
2026-03-01 08:45:00+07:00,624.298095703125,625.2911987304688,619.84423828125,619.8733520507812,37505280
2026-03-01 09:00:00+07:00,629.4797973632812,629.921630859375,624.5224609375,624.5224609375,37306496
2026-03-01 09:15:00+07:00,629.6184692382812,629.6458129882812,629.188232421875,629.5016479492188,31419904
2026-03-01 09:30:00+07:00,629.9539184570312,630.0183715820312,629.2323608398438,629.60546875,15517952
2026-03-01 09:45:00+07:00,630.2525634765625,630.9080200195312,629.9555053710938,630.0682983398438,25731840
2026-03-01 10:00:00+07:00,630.2811889648438,630.3374633789062,629.81689453125,630.1973876953125,7232000
2026-03-01 10:15:00+07:00,629.590576171875,631.3531494140625,629.556640625,630.3088989257812,11840000
2026-03-01 10:30:00+07:00,630.1527709960938,630.1527709960938,629.2291259765625,629.5738525390625,6263040
2026-03-01 10:45:00+07:00,628.8602294921875,630.2638549804688,628.8602294921875,630.1544799804688,5175808
2026-03-01 11:00:00+07:00,629.0349731445312,629.444091796875,628.8959350585938,628.8959350585938,6620544
2026-03-01 11:15:00+07:00,627.8635864257812,628.9713745117188,626.8051147460938,628.9713745117188,12527360
2026-03-01 11:30:00+07:00,630.6417846679688,630.6417846679688,627.8734741210938,627.8734741210938,17347584
2026-03-01 11:45:00+07:00,629.9447021484375,630.6455688476562,629.9447021484375,630.603515625,6360576
2026-03-01 12:00:00+07:00,630.2320556640625,630.3193969726562,629.5940551757812,629.97216796875,8469760
2026-03-01 12:15:00+07:00,630.478759765625,630.478759765625,629.7329711914062,630.04443359375,3260544
2026-03-01 12:30:00+07:00,630.0154418945312,630.5198364257812,630.0154418945312,630.422607421875,36608
2026-03-01 12:45:00+07:00,628.3047485351562,629.9647827148438,628.3047485351562,629.9647827148438,1322624
