Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2024-03-19 07:00:00+07:00,3424.953369140625,3543.524169921875,3375.0966796875,3522.8046875,2666115072
2024-03-19 11:00:00+07:00,3357.149658203125,3424.79296875,3314.6435546875,3419.525634765625,2452682752
2024-03-19 15:00:00+07:00,3270.96875,3357.443359375,3202.55810546875,3357.443359375,4297203712
2024-03-19 19:00:00+07:00,3307.18701171875,3317.947265625,3220.169921875,3273.4619140625,1287763968
2024-03-19 23:00:00+07:00,3338.3857421875,3357.439697265625,3282.746337890625,3300.379150390625,682760192
2024-03-20 03:00:00+07:00,3155.679443359375,3336.460205078125,3149.971435546875,3334.205078125,2083086336
2024-03-20 07:00:00+07:00,3159.43994140625,3260.995849609375,3157.23193359375,3158.4658203125,649064448
2024-03-20 11:00:00+07:00,3219.361328125,3222.966796875,3059.65478515625,3160.499267578125,1565822976
2024-03-20 15:00:00+07:00,3290.517333984375,3291.8203125,3206.88037109375,3215.188232421875,0
2024-03-20 19:00:00+07:00,3297.166748046875,3394.621337890625,3277.83935546875,3291.41943359375,860463104
2024-03-20 23:00:00+07:00,3377.823486328125,3402.4296875,3160.457763671875,3292.193115234375,3902109696
2024-03-21 03:00:00+07:00,3512.5986328125,3534.460693359375,3373.514404296875,3378.475830078125,1324216320
2024-03-21 07:00:00+07:00,3520.090576171875,3557.083740234375,3497.559814453125,3516.404541015625,101126144
2024-03-21 11:00:00+07:00,3518.370849609375,3535.79248046875,3452.229248046875,3511.417236328125,0
2024-03-21 15:00:00+07:00,3532.966796875,3583.82275390625,3518.323486328125,3518.323486328125,110604288
2024-03-21 19:00:00+07:00,3492.721435546875,3571.67822265625,3482.720703125,3532.052978515625,0
2024-03-21 23:00:00+07:00,3449.46044921875,3543.119140625,3412.935302734375,3496.1123046875,0
2024-03-22 03:00:00+07:00,3489.527099609375,3520.802978515625,3418.624267578125,3444.94921875,0
2024-03-22 07:00:00+07:00,3519.866943359375,3523.968505859375,3456.664794921875,3492.00390625,0
2024-03-22 11:00:00+07:00,3510.126708984375,3541.839599609375,3502.259521484375,3520.646728515625,115070976
2024-03-22 15:00:00+07:00,3409.359619140625,3522.916259765625,3402.04150390625,3510.675048828125,4530176
2024-03-22 19:00:00+07:00,3349.457763671875,3422.533203125,3286.508544921875,3405.383544921875,1351084032
2024-03-22 23:00:00+07:00,3351.134765625,3358.473388671875,3291.808349609375,3348.878173828125,178157568
2024-03-23 03:00:00+07:00,3324.166748046875,3343.865966796875,3256.4169921875,3343.1328125,591349760
2024-03-23 07:00:00+07:00,3304.451171875,3360.124755859375,3273.115478515625,3336.071533203125,0
2024-03-23 11:00:00+07:00,3365.285888671875,3381.202880859375,3303.662109375,3305.429931640625,67649536
2024-03-23 15:00:00+07:00,3363.000244140625,3378.239990234375,3330.473876953125,3365.618896484375,0
2024-03-23 19:00:00+07:00,3405.375732421875,3421.703857421875,3347.8525390625,3364.06494140625,0
2024-03-23 23:00:00+07:00,3389.068359375,3432.483154296875,3387.5712890625,3405.98583984375,0
2024-03-24 03:00:00+07:00,3339.013427734375,3397.0166015625,3334.598876953125,3387.255126953125,77916160
2024-03-24 07:00:00+07:00,3313.191162109375,3366.0830078125,3312.189697265625,3332.378173828125,0
2024-03-24 11:00:00+07:00,3340.33447265625,3340.474609375,3302.135986328125,3311.43115234375,148589568
2024-03-24 15:00:00+07:00,3386.481689453125,3389.456298828125,3339.708740234375,3342.76806640625,98441216
2024-03-24 19:00:00+07:00,3397.0810546875,3413.2490234375,3379.92236328125,3387.82763671875,85835776
2024-03-24 23:00:00+07:00,3383.560791015625,3407.465087890625,3337.56005859375,3398.736328125,520567808
2024-03-25 03:00:00+07:00,3453.15380859375,3468.001708984375,3377.3310546875,3382.917724609375,441547776
2024-03-25 07:00:00+07:00,3450.411865234375,3459.08837890625,3423.234619140625,3453.69384765625,217680896
2024-03-25 11:00:00+07:00,3447.373779296875,3504.58984375,3445.245849609375,3454.830322265625,842888192
2024-03-25 15:00:00+07:00,3436.38330078125,3472.295166015625,3435.552001953125,3446.392822265625,154012672
2024-03-25 19:00:00+07:00,3578.992919921875,3585.443603515625,3435.155517578125,3436.9921875,2710461440
2024-03-25 23:00:00+07:00,3640.160888671875,3652.0087890625,3570.62744140625,3582.56103515625,2758787072
